Brief,Category,Clients,Status,Lead,Level of effort,Start date,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback,End date,Region,Reason for matching
Panthera App Experience Design Vision,Strategic Design,JLR,3. Started,Hannah Fraser,High (10+ hours),20/3/2023,"CreateFuture,xDesign,Nimbletank,Shoreditch Design Studio",Nimbletank,Oliver Tuley,,,,,,,,,,31/5/2023,UK,
JLR FS CX Vision,Strategic Design,JLR,3. Started,Hannah Fraser,High (10+ hours),17/4/2023,"CreateFuture,OHMY,Loomery",Loomery,,,,,,,,,,,30/6/2023,UK,
"Retail Brand Positioning
",Brand Strategy,L&G,3. Started,Hannah Fraser,High (10+ hours),27/3/2023,"Studio Something,2050London,Daughter Studio,Blue Feathers,MB&a,Manifest Group",Daughter Studio,"L&G Team,L&G Team,L&G Team",,,,,,,,,,30/11/2023,UK,
Paid performance media set-up and campaign mgmt,Digital Marketing,MA Financial Group,3. Started,Kate Walker,Medium (5-10 hours),7/11/2022,"Balmer Agency,Shines Digital,In Marketing We Trust",In Marketing We Trust,,,,,,,,,,,,AUS,
SEO Site Migration and Performance Campaign,Digital Marketing,MA Financial Group,3. Started,Kate Walker,Medium (5-10 hours),7/11/2022,"In Marketing We Trust,Balmer Agency,Shines Digital",In Marketing We Trust,,,,,,,,,,,,AUS,
MA Financial Website Build,Software Development,MA Financial Group,3. Started,Robin Scarborough,High (10+ hours),21/11/2022,PALO IT,PALO IT,,,,,,,,,,,,AUS,
Brand refresh,Brand Strategy,MA Financial Group,3. Started,Kate Walker,Medium (5-10 hours),12/12/2022,Houston Group,Houston Group,,,,,,,,,,,,AUS,
Experiment capability & 2x prop experiments,Proposition Design,News Corp (Aus),3. Started,Robin Scarborough,High (10+ hours),30/9/2022,"How To Impact,IE",How To Impact,,,,,,,,,,,,AUS,
Website copy,Copywriting,Oxford Properties,3. Started,Paul Bowman,Medium (5-10 hours),23/1/2023,"Reed Words,infogr8 Ltd,Catch the Sun Communications",Reed Words,"Matt Stephen ,Matt Stephen ,Matt Stephen ",,,,,,,,,,10/3/2023,UK,
Front End Web Design ,UX/UI Design,Oxford Properties,3. Started,Paul Bowman,Medium (5-10 hours),23/1/2023,"Shoreditch Design Studio,Akcelo,xDesign",Shoreditch Design Studio,,,,,,,,,,,10/3/2023,UK,
"Pulse ph 1
",Proposition Design,TAL,3. Started,Robin Scarborough,Medium (5-10 hours),13/2/2023,Path Ventures,Path Ventures,,,,,,,,,,,,AUS,
"Product Design - Pulse 
",UX/UI Design,TAL,3. Started,Robin Scarborough,Medium (5-10 hours),13/3/2023,"Raw.Studio,Wonderful",Wonderful,,,,,,,,,,,,AUS,
Content Design - Pulse,Social & Content,TAL,3. Started,Robin Scarborough,Medium (5-10 hours),13/3/2023,Wonderful,Wonderful,,,,,,,,,,,,AUS,
Social Media support,Social & Content,Veezu,3. Started,Paul Bowman,Medium (5-10 hours),29/3/2023,,GH05T Ltd.,,,,,,,,,,,31/5/2023,UK,
Social Media Veezu,Social & Content,Veezu,3. Started,Paul Bowman,Medium (5-10 hours),24/4/2023,"GH05T Ltd.,Nonsensical,Spin Brands",GH05T Ltd.,,,,,,,,,,,8/6/2023,UK,
Concept Design,Brand Strategy,Wave,3. Started,Paul Bowman,Low (1-5 hours),31/3/2023,NMD+,NMD+,,,,,,,,,,,31/5/2023,UK,
Expert object photography,Photography,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),4/1/2023,Viewpoint Studios,Viewpoint Studios,,,,,,,,,,,30/1/2023,UK,
Food & Packaging E2E Proposition Animation,Creative & Production,Biffa,4. Finished,Hannah Fraser,High (10+ hours),2/1/2023,"Shoreditch Design Studio,Salamandra.uk Animation Studios,Tinker Taylor",Salamandra.uk Animation Studios,"Sarah Turner,Sarah Turner,Sarah Turner",10,9,10,10,"Excellent work and the team were fantastic, look forward to working together on future projects.",10,10,Hannah organised the agency selection stages quickly and smoothly then stayed in touch whilst the project was progressing.,Sarah Turner,17/3/2023,UK,
Escape Travel eDM Build,CRM & Loyalty,News Corp (Aus),4. Finished,Kate Walker,Medium (5-10 hours),4/10/2022,,,,,,,,,,,,,,AUS,
Senior UI Designer,UX/UI Design,Aegon,5. Archived,Gideon Hyde,High (10+ hours),30/5/2022,Hedgehog Lab,Hedgehog Lab,,,,,,,,,,,30/9/2022,UK,
EV Location Partner Campaign,Social & Content,Allego ,5. Archived,Gideon Hyde,Medium (5-10 hours),12/9/2022,"GH05T Ltd.,Buddy Media,bbp",GH05T Ltd.,"Christine Strik,Christine Strik,Christine Strik",9,8,9,9,Team have been a pleasure to work with. Brief has been met. Good quality of work overall. ,9,9,"Always a very professional service, clear proposition, clear direction, supporting our needs. ",Daniel Belbeck,10/2/2023,UK,
Brand Refresh - case for change (Consulting),Brand Strategy,Auspaynet,5. Archived,Kate Walker,High (10+ hours),4/7/2022,,,,,,,,,,,,,,AUS,
MoneyCoach Ph1,UX/UI Design,Aviva,5. Archived,Peter Sayburn,Medium (5-10 hours),1/1/2022,"Neu,off brand.",Neu,,,,,,,,,,,,UK,
Zero micro-site,UX/UI Design,Aviva,5. Archived,Peter Sayburn,Medium (5-10 hours),1/2/2022,"Rip + Tear,I-AM,Rufus Leonard",I-AM,,,,,,,,,,,,UK,
MoCo marketing,Social & Content,Aviva,5. Archived,Peter Sayburn,Medium (5-10 hours),21/3/2022,"Buddy Media,Heur,Three Whiskey",Buddy Media,,,,,,,,,,,,UK,
Sustainable Home Insurance,Proposition Design,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),25/4/2022,"Good Innovation,Nile HQ,Sparksfly",Good Innovation,,10,10,10,10,"I was really impressed with Good Innovation.  They are extremely friendly, enthusiastic and worked hard to really understand what we wanted and to deliver against it.",10,10,,"Simon Burckitt,Lorna Whalley",,UK,
MOCO Board Comms,Creative & Production,Aviva,5. Archived,Peter Sayburn,Low (1-5 hours),2/5/2022,Buddy Media,Buddy Media,,,,,,,,,,,,UK,
DW Overarching Vision,Proposition Design,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),27/6/2022,Studiospace,Studiospace,,,,,,,,,,,28/10/2022,UK,
