Brief,Category,Clients,Status,Level of effort,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback
DW - Pension Consolidation journey design,Proposition Design,Aviva,5. Archived,Medium (5-10 hours),"Nimbletank,NMD+,Shoreditch Design Studio",NMD+,"Laura Bunting,Laura Bunting,Laura Bunting",10,10,10,10,,,,Test,
Innovation smoke tests,Research & Insight,Aviva,5. Archived,Medium (5-10 hours),Shoreditch Design Studio,Shoreditch Design Studio,,10,10,10,10,"Excellent, flexible, creative and helped us push our ideas further, was a fully collaborative experience. Wasn't just we say and they do. ",10,10,,Anna Herdman
Social and web plan,Social & Content,Aviva,5. Archived,Low (1-5 hours),"NMD+,Polar Media House",NMD+,,,,,,,,,,
MyAviva Engagement,UX/UI Design,Aviva,5. Archived,Medium (5-10 hours),"Nimbletank,UNPITCHD,Frontier",UNPITCHD,"Paul Welsh,Paul Welsh",9,9,9,9,"Great output, but came quite late in the game, although there were lots of people involved not always sure what they were doing. Also not sure how much they had worked with clients who were well versed in innovation and design thinking but there was quite a lot of show and tell as opposed to working time. Most of the feedback has been given to the team directly but would recommend them and work with them again. ",10,10,,Anna Herdman
DW Personas,Research & Insight,Aviva,5. Archived,Medium (5-10 hours),"NMD+,I-AM,Blicx",Blicx,,,,,,,,,,
Investor application journey,UX/UI Design,Aviva,5. Archived,Low (1-5 hours),Shoreditch Design Studio,Shoreditch Design Studio,,8,8,9,10,"Andrew @ Shoreditch and his team were able to accept our brief and begin work at very short notice. They were happy to work for us on risk until we completed the procurement process as not to jeopardise our critical timelines which was appreciated. An ask of our brief was to develop an innovate and market leading onboarding journey to support our internal strategy for growth and improve organic conversion. We asked this to be developed agnostic of our internal constraints so we could see a blue-sky journey to aspire to.  The team researched competitor journeys for us, provided side by side comparisons of questions we ask that competitors don't (to promote a more frictionless journey), gave recommendations on improved features (e.g. payment method) and provided high fidelity designs to pass onto our build teams. They also resolved blockages with lead times for consumer research and offered to facilitate this themselves, which i was supportive of and appreciated.  Considering the very tight window I considered the output to be of high quality.  They worked closely with SMEs on the Aviva side to deliver. ",10,10,I went to Studiospace requiring urgent UX research. They were able to arrange for an agency to meet with me the same day for me to provide a brief and quote on the work.,Craig Lutkin
OneAviva Narrative,Brand Strategy,Aviva,5. Archived,Medium (5-10 hours),Rip + Tear,Rip + Tear,,9,9,10,10,"Rapid, responsive and good quality output",9,9,,Paul Wilson
Quote Me Happy Content,SEO & PPC,Aviva,5. Archived,Low (1-5 hours),Buddy Media,Buddy Media,,9,10,10,10,"Giving very high scores because the patience shown by Buddy, dealing with some of the challenges and changes as a result of Aviva's riks appetite was commendable. The output has been seen by the CEO - so very visible (it was a good response). And they're specialist expertise is shaping our thinking on how we use / work with agencies. ",10,10,The model and how we work with Studiospace is excellent. I discussed with Paul Bowman additional controls on marketing requests given the new operating model in Aviva,David Judic
DW E2E Prototype ,UX/UI Design,Aviva,5. Archived,Low (1-5 hours),NMD+,NMD+,,,,,,,,,,
DW retained design squad - 1st 2 weeks,UX/UI Design,Aviva,5. Archived,High (10+ hours),Hedgehog Lab,Hedgehog Lab,,,,,,,,,,
